task_id,name,category,person,priority,status,start_date,end_date,estimated_days,description,dev_note,note
PM-001,EPI03 玩家体验问题修复(3处),策划,PM,P1,未开始,2026-04-02,2026-04-05,,,,W1
PM-002,EPI03 对话MD->JSON同步(52个),策划,PM,P0,未开始,2026-04-02,2026-04-07,,,,W1
PM-003,预审Unit4大纲,策划,PM,P1,未开始,2026-04-02,2026-04-05,,,,W1
PM-004,新策划入职材料准备,策划,PM,P1,未开始,2026-04-02,2026-04-05,,,,W1
PM-005,EPI04 人物设定(7-10份NPC MD),策划,PM,P0,未开始,2026-04-08,2026-04-12,,,,W2
PM-006,EPI04 场景设计(10-14份),策划,PM,P0,未开始,2026-04-08,2026-04-12,,,,W2
PM-007,带新策划熟悉项目(~30%),策划,PM,P1,未开始,2026-04-08,2026-04-12,,,,W2
PM-008,读EPI01-03设计文档+玩demo,策划,新策划,P1,未开始,2026-04-08,2026-04-12,,,,W2
PM-009,熟悉配置表+对话MD规范,策划,新策划,P1,未开始,2026-04-08,2026-04-12,,,,W2
PM-010,EPI02 对话优化启动,策划,新策划,P1,未开始,2026-04-10,2026-04-12,,,,W2
PM-011,EPI04 证据设计(6份Loop),策划,PM,P0,未开始,2026-04-14,2026-04-18,,,,W3
PM-012,EPI04 美术参考文档->交美术,策划,PM,P1,未开始,2026-04-14,2026-04-18,,,,W3
PM-013,EPI02+EPI01 对话优化(~3天),策划,新策划,P1,未开始,2026-04-14,2026-04-18,,,,W3
PM-014,EPI03 配表验证测试(~2天),策划,新策划,P1,未开始,2026-04-16,2026-04-18,,,,W3
PM-015,EPI03 AI音色校准,策划,新策划,P2,未开始,2026-04-17,2026-04-18,,,,W3
PM-016,EPI04 指证设计(6份),策划,PM,P0,未开始,2026-04-21,2026-04-26,,,,W4
PM-017,EPI04 疑点设计,策划,PM,P0,未开始,2026-04-21,2026-04-26,,,,W4
PM-018,EPI04 鉴赏力设计,策划,PM,P0,未开始,2026-04-22,2026-04-26,,,,W4
PM-019,EPI04 小玩法/突发事件设计,策划,PM,P1,未开始,2026-04-23,2026-04-26,,,,W4
PM-020,EPI01/02 对话优化收尾,策划,新策划,P1,未开始,2026-04-21,2026-04-26,,,,W4
PM-021,EPI03 AI管线启动(TTS/表情/视频),策划,新策划,P2,未开始,2026-04-23,2026-04-26,,,,W4
PM-022,精读EPI04设计文档,策划,新策划,P2,未开始,2026-04-24,2026-04-26,,,,W4
PM-023,EPI05 故事提炼+大纲,策划,PM,P0,未开始,2026-04-28,2026-05-05,,,,W5
PM-024,EPI04 Talk对话启动,策划,新策划,P1,未开始,2026-04-28,2026-05-05,,,,W5
PM-025,EPI04 State生成(6份),策划,PM,P0,未开始,2026-05-06,2026-05-12,,,,W6
PM-026,EPI04 Talk对话(续),策划,新策划,P1,未开始,2026-05-06,2026-05-12,,,,W6
PM-027,EPI04 Expose对话,策划,PM,P0,未开始,2026-05-13,2026-05-19,,,,W7
PM-028,EPI05 人物/场景/证据设计,策划,PM,P0,未开始,2026-05-13,2026-05-19,,,,W7
PM-029,EPI04 Talk对话收尾+配表验证,策划,新策划,P1,未开始,2026-05-15,2026-05-19,,,,W7
PM-030,EPI05 指证/疑点/鉴赏力+State,策划,PM,P0,未开始,2026-05-19,2026-05-26,,,,W8
PM-031,EPI04 配表验证测试,策划,新策划,P1,未开始,2026-05-20,2026-05-26,,,,W8
PM-032,EPI05 Talk对话(State就绪Loop先行),策划,新策划,P1,未开始,2026-05-21,2026-05-26,,,,W8
PM-033,EPI05 State生成(6份),策划,PM,P0,未开始,2026-05-26,2026-06-02,,,,W9
PM-034,EPI05 Talk对话(续),策划,新策划,P1,未开始,2026-05-27,2026-06-02,,,,W9
PM-035,EPI05 Expose对话,策划,PM,P0,未开始,2026-06-02,2026-06-08,,,,W10
PM-036,全线审查->内容截止(6/8),策划,PM,P0,未开始,2026-06-03,2026-06-08,,,,W10
PM-037,EPI05 Talk对话(续2),策划,新策划,P1,未开始,2026-06-03,2026-06-08,,,,W10
PM-038,质量审查+跨章一致性,策划,PM,P0,未开始,2026-06-09,2026-06-22,,,,W11
PM-039,EPI05 Talk对话续完,策划,新策划,P1,未开始,2026-06-10,2026-06-22,,,,W11
PM-040,跨章对话质检,策划,新策划,P1,未开始,2026-06-12,2026-06-22,,,,W11
PM-041,全线验收: 五章全部交付,策划,PM,P0,未开始,2026-06-23,2026-06-30,,,,W13
PM-042,AI资产管线收尾+最终验收,策划,新策划,P1,未开始,2026-06-24,2026-06-30,,,,W13
OPT-001,字幕系统方案确定,策划,PM,P0,未开始,2026-04-07,2026-04-12,,,,需一起确定规则和标准
OPT-002,循环结构完成后zack/emma总结对话,策划,PM,P0,未开始,2026-04-07,2026-04-14,,,,指证结束后流程衔接
OPT-004,第一幕是否取消MAP,策划,PM,P0,未开始,,,,,,影响流程设计，需决策
OPT-005,前往Morrison家和退出时的逻辑,策划,PM,P0,进行中,,,,,,卡关bug
OPT-006,剧情指证成功后视频方案,策划,PM,P0,未开始,,,,,,统一视频还是分视频
OPT-010,增加常用音效（从素材库购买）,策划,,P1,未开始,,,,,,简化：购买而非定制
OPT-011,所有AVG视频内容检查,策划,PM,P1,进行中,,,,,,合并到QA阶段
OPT-013,[POST-LAUNCH] 指证结果后续衔接优化,策划,,P3,未开始,,,,,,锦上添花，不影响通关
OPT-014,[POST-LAUNCH] 关系网头像位置调整,策划,,P3,未开始,,,,,,视觉优化，非必须
OPT-015,[POST-LAUNCH] 进出口ICON修正,策划,,P3,进行中,,,,,,P3级别bug
OPT-016,[POST-LAUNCH] 音乐音效空白补全,策划,,P3,未开始,,,,,,后期polish
OPT-017,[POST-LAUNCH] 音乐音效其他优化,策划,,P3,未开始,,,,,,后期polish
