task_id,name,category,person,priority,status,start_date,end_date,estimated_days,description,dev_note,note
ART-001,Mickey(308)造型+头像,美术,,P0,未开始,2026-04-02,2026-04-03,0.3,,,
ART-002,Foster(309)造型+头像,美术,,P0,未开始,2026-04-02,2026-04-03,0.3,,,
ART-003,Mary(303)造型+头像,美术,,P0,未开始,2026-04-02,2026-04-03,0.3,,,
ART-004,Helen(304)造型+头像,美术,,P0,未开始,2026-04-02,2026-04-03,0.3,,,
ART-005,Bernard(305)造型+头像,美术,,P0,未开始,2026-04-02,2026-04-03,0.3,,,
ART-006,Seamus(306)造型+头像,美术,,P0,未开始,2026-04-02,2026-04-03,0.3,,,
ART-007,Margaret(307)造型+头像,美术,,P0,未开始,2026-04-02,2026-04-03,0.3,,,
ART-008,SC3001 Thomas公寓楼下现场,美术,,P0,未开始,2026-04-02,2026-04-03,0.5,,,
ART-009,SC3002 Thomas公寓楼顶,美术,,P0,未开始,2026-04-02,2026-04-03,0.5,,,
ART-010,章节ICON,美术,,P0,未开始,2026-04-02,2026-04-03,0.2,,,
ART-011,二级菜单,美术,,P1,未开始,2026-04-02,2026-04-03,0.1,,,
ART-012,Emily(310)造型+头像,美术,,P0,未开始,2026-04-08,2026-04-12,0.2,,,
ART-013,Thomas(311)造型+头像,美术,,P0,未开始,2026-04-08,2026-04-12,0.2,,,
ART-014,SC3013公寓楼门口,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-015,SC3004警局,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-016,SC3003 Sullivan家-客厅,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-017,SC3005法医办公室,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-018,SC3006公寓二楼走廊,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-019,SC3007教堂,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-020,SC3008 Helen家,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-021,SC3009 Continental银行,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-022,SC3010 Margaret鞋坊,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-023,SC3011街角,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-024,SC3012 Sullivan家-卧室,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-025,SC3014 Bernard办公室,美术,,P0,未开始,2026-04-08,2026-04-12,0.5,,,
ART-026,Mary x 3场景底图,美术,,P0,未开始,2026-04-08,2026-04-12,0.6,,,
ART-027,Helen x 2场景底图,美术,,P0,未开始,2026-04-08,2026-04-12,0.4,,,
ART-028,Bernard x 2场景底图,美术,,P0,未开始,2026-04-08,2026-04-12,0.4,,,
ART-029,Mary x SC3013/SC3003/SC3012,美术,,P0,未开始,2026-04-14,2026-04-18,0.6,,,
ART-030,Helen x SC3008,美术,,P0,未开始,2026-04-14,2026-04-18,0.4,,,
ART-031,Bernard x SC3009/SC3014,美术,,P0,未开始,2026-04-14,2026-04-18,0.4,,,
ART-032,Seamus x SC3006,美术,,P1,未开始,2026-04-14,2026-04-18,0.2,,,
ART-033,Morrison x SC3004,美术,,P1,未开始,2026-04-14,2026-04-18,0.2,,,
ART-034,Margaret x SC3010,美术,,P1,未开始,2026-04-14,2026-04-18,0.2,,,
ART-035,Seamus x 1场景底图,美术,,P1,未开始,2026-04-14,2026-04-18,0.2,,,
ART-036,Margaret x 1场景底图,美术,,P1,未开始,2026-04-14,2026-04-18,0.2,,,
ART-037,Mickey x 2场景底图,美术,,P1,未开始,2026-04-14,2026-04-18,0.4,,,
ART-038,Foster x 1场景底图,美术,,P1,未开始,2026-04-14,2026-04-18,0.2,,,
ART-039,Morrison x 1场景底图,美术,,P1,未开始,2026-04-14,2026-04-18,0.2,,,
ART-040,L1证据,美术,,P0,未开始,2026-04-14,2026-04-18,0.8,,,
ART-041,L2证据,美术,,P0,未开始,2026-04-14,2026-04-18,1.4,,,
ART-042,门XY+切图,美术,,P1,未开始,2026-04-14,2026-04-18,0.2,,,
ART-043,Mickey x SC3004/SC3011,美术,,P1,未开始,2026-04-21,2026-04-26,0.4,,,
ART-044,Foster x SC3005,美术,,P1,未开始,2026-04-21,2026-04-26,0.2,,,
ART-045,Emma x 贯穿5场景,美术,,P0,未开始,2026-04-21,2026-04-26,1.0,,,
ART-046,Zack x 贯穿3场景,美术,,P0,未开始,2026-04-21,2026-04-26,0.6,,,
ART-047,L3证据,美术,,P0,未开始,2026-04-21,2026-04-26,1.3,,,
ART-048,L4证据,美术,,P0,未开始,2026-04-21,2026-04-26,0.6,,,
ART-049,L5证据,美术,,P0,未开始,2026-04-21,2026-04-26,1.1,,,
ART-050,L6证据,美术,,P1,未开始,2026-04-21,2026-04-26,0.2,,,
ART-051,CASEBOARD道具icon,美术,,P1,未开始,2026-04-21,2026-04-26,0.1,,,
ART-052,侧光压痕分析系统,美术,,P1,未开始,2026-04-21,2026-04-26,0.5,,,
ART-053,花形吊坠比对,美术,,P1,未开始,2026-04-21,2026-04-26,0.5,,,
ART-054,脚印比对,美术,,P1,未开始,2026-04-21,2026-04-26,0.5,,,
ART-055,L1 Morrison指证场景,美术,,P1,未开始,2026-04-21,2026-04-26,0.3,,,
ART-056,L2 Mary指证场景,美术,,P1,未开始,2026-04-21,2026-04-26,0.3,,,
ART-057,L3 Helen指证场景,美术,,P1,未开始,2026-04-21,2026-04-26,0.3,,,
ART-058,L5 Bernard指证场景,美术,,P1,未开始,2026-04-21,2026-04-26,0.3,,,
ART-059,L6控辩辩论指证场景,美术,,P1,未开始,2026-04-21,2026-04-26,0.3,,,
ART-060,指证后左右对话x5个,美术,,P1,未开始,2026-04-21,2026-04-26,1.0,,,
